,bearish,bullish,date,title,enddate,yqdopen,yqdclose6m,yqdclose30d,yqdclose7d
30,"['IONS', 'GIII', 'PVH', 'CVI', 'VFC']","['TWLO', 'BRK.A', 'DOV', 'BRK.B']",20170526,Dover Is A Great American Company - Cramer's Lightning Round (5/25/17),20171126,"[['2017-05-26', '25.010000'], ['2017-05-26', '82.041016']]","[['2017-10-20', '32.439999'], ['2017-10-20', '94.769997']]","[['2017-06-30', '29.110001'], ['2017-06-30', '79.773705']]","[['2017-06-06', '25.540001'], ['2017-06-06', '83.244286']]"
31,"['TEVA', 'TRIP', 'EXPE', 'LL', 'HD', 'CHRW', 'FDX']","['FL', 'CARA', 'NGG']",20170525,Foot Locker Has Upside - Cramer's Lightning Round (5/24/17),20171125,"[['2017-05-25', '58.719219'], ['2017-05-25', '16.709999'], ['2017-05-25', '68.778046']]","[['2017-10-20', '31.264999'], ['2017-10-20', '12.336800'], ['2017-10-20', '61.867699']]","[['2017-06-29', '47.932045'], ['2017-06-29', '25.510000'], ['2017-06-29', '62.930000']]","[['2017-06-05', '56.691704'], ['2017-06-05', '18.200001'], ['2017-06-05', '67.510002']]"
32,['CYH'],"['EBAY', 'SHOP', 'EXC', 'LDOS', 'GD', 'CG']",20170524,Buy eBay - Cramer's Lightning Round (5/23/17),20171124,"[['2017-05-24', '34.820000'], ['2017-05-24', '90.809998'], ['2017-05-24', '35.498775'], ['2017-05-24', '54.274063'], ['2017-05-24', '198.347000'], ['2017-05-24', '17.438841']]","[['2017-10-20', '37.654999'], ['2017-10-20', '101.785698'], ['2017-10-20', '39.474998'], ['2017-10-20', '62.220001'], ['2017-10-20', '213.339996'], ['2017-10-20', '24.400000']]","[['2017-06-28', '35.310001'], ['2017-06-28', '89.519997'], ['2017-06-28', '35.875469'], ['2017-06-28', '51.983006'], ['2017-06-28', '199.190063'], ['2017-06-28', '19.300291']]","[['2017-06-02', '35.320000'], ['2017-06-02', '97.529999'], ['2017-06-02', '36.281906'], ['2017-06-02', '55.312088'], ['2017-06-02', '202.036621'], ['2017-06-02', '17.438841']]"
33,"['FCX', 'NRZ', 'RRC', 'NTNX', 'CRM']","['EXAS', 'AZN', 'SPLK']",20170523,Don't Give Up On Splunk - Cramer's Lightning Round (5/22/17),20171123,"[['2017-05-23', '31.900000'], ['2017-05-23', '33.564507'], ['2017-05-23', '66.430000']]","[['2017-10-20', '49.099998'], ['2017-10-20', '34.650600'], ['2017-10-20', '64.040001']]","[['2017-06-27', '34.090000'], ['2017-06-27', '34.047092'], ['2017-06-27', '56.090000']]","[['2017-06-01', '38.240002'], ['2017-06-01', '34.283463'], ['2017-06-01', '61.599998']]"
34,"['GILD', 'INCY', 'QRVO']",['SKT'],20170522,Gilead Should Buy Incyte - Cramer's Lightning Round (5/19/17),20171122,"[['2017-05-22', '25.634193']]","[['2017-10-20', '25.200001']]","[['2017-06-26', '25.515701']]","[['2017-05-31', '25.732939']]"
35,"['ALXN', 'INCY', 'X', 'NUE']","['CBSH', 'BDX', 'RAD', 'GIS', 'WBA']",20170519,Walgreens Boots Alliance Is A Win-Win - Cramer's Lightning Round (5/18/17),20171119,"[['2017-05-19', '53.668770'], ['2017-05-19', '182.757462'], ['2017-05-19', '3.460000'], ['2017-05-19', '55.203087'], ['2017-05-19', '80.212563']]","[['2017-10-20', '57.860001'], ['2017-10-20', '211.491196'], ['2017-10-20', '1.790000'], ['2017-10-20', '51.994999'], ['2017-10-20', '67.889999']]","[['2017-06-23', '55.416702'], ['2017-06-23', '194.434937'], ['2017-06-23', '3.110000'], ['2017-06-23', '54.918385'], ['2017-06-23', '75.963608']]","[['2017-05-30', '53.430767'], ['2017-05-30', '186.668076'], ['2017-05-30', '3.460000'], ['2017-05-30', '55.536880'], ['2017-05-30', '79.764786']]"
36,"['GILD', 'HCLP', 'TISI', 'XON']","['FUN', 'ARNC', 'BMY']",20170508,Gilead Sciences Is A Value Trap - Cramer's Lightning Round (5/5/17),20171108,"[['2017-05-08', '68.305023'], ['2017-05-08', '27.015266'], ['2017-05-08', '54.230545']]","[['2017-10-20', '63.518501'], ['2017-10-20', '27.084999'], ['2017-10-20', '64.440002']]","[['2017-06-12', '69.779350'], ['2017-06-12', '26.755888'], ['2017-06-12', '53.658035']]","[['2017-05-16', '68.451393'], ['2017-05-16', '27.344479'], ['2017-05-16', '53.687645']]"
37,"['CC', 'GIS']","['SHOP', 'MO', 'RHT']",20170505,Hold On To Altria - Cramer's Lightning Round (5/4/17),20171105,"[['2017-05-05', '85.529999'], ['2017-05-05', '69.603508'], ['2017-05-05', '88.610001']]","[['2017-10-20', '101.800003'], ['2017-10-20', '64.769997'], ['2017-10-20', '121.849998']]","[['2017-06-09', '91.449997'], ['2017-06-09', '74.059227'], ['2017-06-09', '88.849998']]","[['2017-05-15', '94.239998'], ['2017-05-15', '69.358147'], ['2017-05-15', '89.660004']]"
38,"['VLO', 'CCO']","['SWKS', 'AUPH', 'SLB', 'DRI']",20170503,"Patience With Schlumberger, Skyworks - Cramer's Lightning Round (5/2/17)",20171103,"[['2017-05-03', '100.835220'], ['2017-05-03', '7.260000'], ['2017-05-03', '70.460609'], ['2017-05-03', '86.122925']]","[['2017-10-20', '105.082497'], ['2017-10-20', '6.160000'], ['2017-10-20', '62.759998'], ['2017-10-20', '82.735001']]","[['2017-06-07', '109.135826'], ['2017-06-07', '6.200000'], ['2017-06-07', '68.129379'], ['2017-06-07', '90.684227']]","[['2017-05-11', '102.008301'], ['2017-05-11', '7.530000'], ['2017-05-11', '70.706871'], ['2017-05-11', '86.911057']]"
39,"['AMGN', 'MITK', 'HPE']","['ALK', 'BRKS', 'LUV']",20170502,Alaska Air Is A Good Buy - Cramer's Lightning Round (5/1/17),20171102,"[['2017-05-02', '85.854446'], ['2017-05-02', '25.884750'], ['2017-05-02', '58.073303']]","[['2017-10-20', '79.650002'], ['2017-10-20', '32.090000'], ['2017-10-20', '59.187500']]","[['2017-06-06', '88.865578'], ['2017-06-06', '28.429338'], ['2017-06-06', '59.959682']]","[['2017-05-10', '82.578705'], ['2017-05-10', '27.502544'], ['2017-05-10', '58.113125']]"
