,bearish,bullish,date,title,enddate,yqdopen,yqdclose
114,"['BIIB', 'GPRE', 'FGP']",['JCI'],20161221,Buy Johnson Controls - Cramer's Lightning Round (12/20/16),20170621,['42.036091'],['40.944572']
115,"['WEC', 'AEP']","['HD', 'VMI', 'MAS']",20161220,Home Depot Is Taking Share From Competition - Cramer's Lightning Round (12/19/16),20170620,"['134.701019', '150.196976', '32.094051']","['156.743073', '147.276276', '38.764809']"
116,"['VIAB', 'CBS', 'NOK', 'URI']","['FNSR', 'MOMO', 'HA', 'BMY', 'ALK', 'BOBE', 'ABM']",20161216,United Rentals Is Expensive - Cramer's Lightning Round (12/15/16),20170616,"['31.170000', '18.080000', '57.349998', '57.069355', '87.805473', '47.784225', '39.403858']","['27.790001', '36.889999', '46.349998', '53.756744', '88.407303', '69.182358', '41.433861']"
117,"['KMB', 'NVS', 'AGN', 'CC', 'GPOR', 'FANG']","['OPK', 'KKR']",20161215,Market Needs More IPOs - Cramer's Lightning Round (12/14/16),20170615,"['11.900000', '16.208960']","['6.450000', '18.268084']"
118,"['GILD', 'CYBR', 'F', 'GM', 'POL', 'BANC', 'WYNN', 'MGM', 'RIG']",[],20161213,Ford Or GM? Cramer's Lightning Round (12/12/16),20170613,[],[]
119,"['WEN', 'MCD', 'PNRA', 'T', 'PAYX', 'PYPL', 'PBR', 'TRP', 'BP']",[],20161212,Still A Fan Of Wendy's - Cramer's Lightning Round (12/09/16),20170612,[],[]
120,"['ICE', 'FRC', 'PRU', 'HSY', 'BMY', 'DDD', 'GPN', 'FIS']",[],20161209,Higher For First Republic Bank? Cramer's Lightning Round (12/08/16),20170609,[],[]
121,"['CHK', 'STM', 'MRVL', 'CY', 'CHFC', 'ADI', 'AEO']",[],20161208,Chesapeake May Head Higher - Cramer's Lightning Round (12/07/16),20170608,[],[]
122,"['FDX', 'WDC', 'SSW', 'IIVI', 'HZNP', 'SBGL', 'GOLD']",[],20161207,Buy FedEx On Holiday Strength - Cramer's Lightning Round (12/06/16),20170607,[],[]
123,"['TWLO', 'HIMX', 'NVDA']","['P', 'EW']",20161206,Wait On Twilio - Cramer's Lightning Round (12/05/16),20170606,"['13.780000', '83.220001']","['8.750000', '116.839996']"
124,"['XYL', 'OLN', 'CWH', 'IFF', 'ACIA', 'BWLD', 'GILD', 'CELG', 'UA', 'ESRX', 'WBA', 'DXCM']",[],20161201,Caution On Acacia - Cramer's Lightning Round (11/30/16),20170601,[],[]
125,"['ZBH', 'AMGN', 'KKR', 'TYC', 'CLD', 'PI', 'NVDA', 'LNT', 'AEP', 'INSY', 'VALE', 'OLED']",[],20161130,A Cold Shoulder For Cloud Peak - Cramer's Lightning Round (11/29/16),20170530,[],[]
126,['PDCO'],"['CHK', 'BLK', 'HAL']",20161129,Cannot Go Wrong With BlackRock - Cramer's Lightning Round (11/28/16),20170529,"['6.370000', '359.628693', '47.062035']","['5.290000', '402.103607', '45.367649']"
127,"['GILD', 'CRC', 'SLB', 'FTR', 'CEMP', 'W', 'PSA']","['APC', 'WOR', 'DVN', 'NUE']",20161123,Gilead Sciences Needs To Use Its Cash - Cramer's Lightning Round (11/22/16),20170523,"['64.755844', '60.735069', '44.754158', '60.910755']","['53.448944', '42.992001', '37.683056', '57.854221']"
